ra,dec,dered_u,err_u,dered_r,err_r,deVRad_r,deVRadErr_r,z,veldisp,veldisperr,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84
239.60966416,27.26525012,20.287081,0.091912,17.494726,6.954208E-3,1.731441,0.047732,0.093193,127.771339,17.008289,10.48885,10.397242,10.574416
239.60304652,27.20886267,20.560619,0.090436,17.596695,6.54071E-3,0.944119,0.028474,0.094324,136.652512,11.460409,10.53041,10.442485,10.618866
239.64097537,27.26019694,20.183687,0.087374,17.495604,7.063822E-3,1.779815,0.052969,0.083915,78.708199,13.065906,10.349405,10.259216,10.434805
239.66482614,27.23100197,19.384798,0.056453,16.126463,3.871949E-3,4.195873,0.052163,0.090275,209.366547,10.585991,11.258519,11.189136,11.347557
239.66250842,27.23380604,20.425617,0.064321,17.531567,5.968117E-3,0.366322,9.693921E-3,0.089867,202.200974,10.807728,10.478593,10.383949,10.580589
239.74581443,27.32268394,19.715233,0.073252,17.021158,6.014142E-3,3.121636,0.093608,0.081618,138.366013,13.115855,10.502816,10.410462,10.593838
239.91053533,27.17135941,19.204578,0.084449,16.363789,5.089202E-3,6.143823,0.155114,0.091595,113.121597,10.826887,10.911812,10.815647,11.0107
239.3334638,27.09275584,20.049028,0.075932,17.231752,5.710797E-3,1.543131,0.043705,0.108685,220.086227,16.12669,10.751275,10.655914,10.847805
239.35996345,27.06319319,19.216951,0.06345,16.254274,4.220053E-3,4.265736,0.066254,0.069143,135.939102,7.675958,10.90841,10.829319,10.996306
239.60982605,26.92741995,20.303152,0.079012,17.56798,6.316211E-3,1.174956,0.031488,0.111523,140.246613,12.208495,10.570943,10.481151,10.656975
239.28692497,27.38751076,19.524755,0.061,16.693823,4.847934E-3,2.921332,0.058782,0.093281,163.036209,10.468759,10.860853,10.766686,10.9566
239.22430775,27.26395887,20.374249,0.102195,17.176283,5.753862E-3,1.968964,0.055089,0.15298,231.638733,15.776185,11.178167,11.087976,11.263086
239.22984967,27.21416318,19.549305,0.060393,16.407084,4.12037E-3,3.093863,0.055677,0.091966,247.737259,11.76582,11.086185,11.003817,11.171641
239.37549364,27.31547123,19.307796,0.07301,16.515245,5.17419E-3,5.293635,0.101754,0.092276,117.157906,11.817293,10.846569,10.753515,10.942237
239.46527538,27.26827756,19.386957,0.073333,16.525166,5.060459E-3,5.014808,0.122744,0.091062,122.190712,10.751217,10.868548,10.775879,10.956094
239.40478327,27.12112548,20.491268,0.106367,17.109642,5.350103E-3,1.614374,0.044477,0.111065,178.623535,12.442417,10.963209,10.875647,11.052367
239.45936125,27.24121354,20.329649,0.090094,17.55303,6.748786E-3,1.476815,0.045132,0.090028,106.366707,11.230905,10.490613,10.399237,10.581812
239.40419826,27.13513262,20.195641,0.067628,17.397665,5.669597E-3,1.125847,0.023496,0.091845,158.813446,12.634116,10.537679,10.445406,10.622753
239.50153359,27.26085957,20.429045,0.092733,17.481777,6.34876E-3,1.695039,0.062627,0.08867,123.572304,11.678055,10.500005,10.407494,10.593098
239.48390271,27.22359759,20.460901,0.083287,17.60503,6.384483E-3,0.996821,0.032224,0.088807,170.105347,15.693818,10.451447,10.356498,10.549518
239.41360158,27.11568123,18.598845,0.045887,16.27335,4.868777E-3,6.791531,0.126953,0.095401,117.845901,12.243205,10.979637,10.88252,11.085228
239.47883808,27.19754054,19.896042,0.073405,17.071184,5.584804E-3,2.311941,0.054437,0.084097,157.460281,13.168501,10.640283,10.550841,10.72918
239.41754574,27.10635537,19.269949,0.041937,17.084686,5.415289E-3,1.886838,0.044838,0.111388,107.352211,9.986356,10.632328,10.534913,10.730402
239.49397145,27.17871581,19.911715,0.065348,16.993063,5.053685E-3,1.723861,0.030502,0.08935,203.519958,12.359727,10.722959,10.633675,10.810981
239.48653563,27.13039194,19.096191,0.048208,16.742434,5.230657E-3,3.394308,0.066625,0.11171,123.171295,12.343074,10.870092,10.768811,10.969095
239.50567049,27.13464524,20.827545,0.107487,17.632229,6.305012E-3,1.159034,0.029381,0.090137,132.860016,12.357792,10.483932,10.387622,10.582123
239.55323955,27.14088435,18.521889,0.026359,16.185509,3.66771E-3,2.332757,0.031728,0.083722,140.201904,9.381623,10.65315,10.539567,10.777538
239.53959978,27.10911714,20.647863,0.108722,17.565178,6.560402E-3,1.4506,0.039676,0.0955,109.440628,12.822176,10.499033,10.399534,10.595676
239.68733901,27.13671232,18.649824,0.034235,16.710371,5.088245E-3,2.900449,0.060379,0.094581,93.037971,18.469053,10.628825,10.542651,10.71918
239.57964019,27.14660079,20.014912,0.074806,17.134556,5.585322E-3,1.778858,0.038475,0.147626,162.256271,10.736744,11.016041,10.919024,11.112248
239.60793401,27.15943453,20.12616,0.067342,17.227083,5.392162E-3,1.239519,0.030151,0.091796,209.460617,12.872601,10.653666,10.560764,10.750278
239.53976067,27.05719475,19.463478,0.051563,17.47616,8.36689E-3,5.117118,0.139327,0.06713,120.508118,21.798487,10.098212,10.010991,10.191978
239.5507271,27.05985359,19.169634,0.036758,17.326706,5.832021E-3,4.055398,0.123539,0.068205,101.977623,14.533448,10.013119,9.928338,10.112445
239.6181112,27.12897364,20.134649,0.087552,17.563061,7.348661E-3,1.921611,0.068342,0.091748,131.071854,19.431805,10.414823,10.319987,10.512209
239.62542355,27.1348988,20.017563,0.06422,17.0525,5.078963E-3,1.524274,0.032309,0.09083,202.299637,12.720164,10.689658,10.594027,10.78869
239.57680337,27.05709837,20.399275,0.088666,17.427864,6.149468E-3,1.41921,0.033828,0.086004,129.205276,9.799047,10.497621,10.407239,10.588141
239.62330979,27.11532209,19.449717,0.052728,16.579735,4.408585E-3,2.102124,0.04768,0.084841,202.198151,11.629292,10.84814,10.756075,10.943164
239.66041668,27.15839703,20.326616,0.084176,17.556421,6.574625E-3,1.187359,0.031058,0.092716,97.300484,10.77716,10.495594,10.401208,10.589286
239.6359313,27.12361933,18.674147,0.030783,16.458334,4.052806E-3,3.814362,0.06673,0.107169,128.920364,10.022586,10.943407,10.848741,11.043343
239.6543081,27.13799139,19.068111,0.039456,16.084558,3.584336E-3,2.229581,0.025918,0.090353,278.463043,11.596944,11.153081,11.065899,11.235191
239.65681645,27.13868186,21.196001,0.279399,17.702682,9.924127E-3,4.053346,0.217876,0.146862,160.387955,19.634489,11.497164,11.416535,11.571794
239.6428905,27.12184074,20.359104,0.078433,17.480804,6.073495E-3,1.049316,0.034157,0.0921,170.834473,12.445805,10.56138,10.470328,10.653382
239.67841176,27.12661803,18.242966,0.020849,16.873453,5.052516E-3,6.218743,0.145977,0.08642,103.215012,15.342297,10.323419,10.19826,10.52415
239.58866992,26.98982339,19.327293,0.044622,16.544432,4.260366E-3,1.798224,0.028147,0.064953,144.189346,9.39682,10.583689,10.492852,10.676039
239.70659017,27.08786433,19.279943,0.048801,16.484236,4.309745E-3,2.777331,0.04272,0.087783,188.855194,12.606146,10.942341,10.84911,11.03549
239.6666607,26.97766421,18.27154,0.028646,15.431114,2.964133E-3,3.772012,0.043303,0.064261,189.457657,7.703221,11.005914,10.91618,11.089095
239.66266193,26.97691791,17.255768,0.016139,15.236961,2.721912E-3,7.914469,0.089886,0.066022,127.122032,7.883184,10.926645,10.83239,11.014555
239.63212378,26.94236309,18.469322,0.038664,16.475685,4.984765E-3,12.321929,0.244983,0.085407,118.555664,19.152409,10.644603,10.552275,10.73818
239.7943327,27.08334172,19.907505,0.063388,17.084682,5.286212E-3,1.65784,0.046972,0.088063,225.705338,15.493689,10.697136,10.607731,10.786119
239.74928585,27.00993565,23.315409,1.668121,18.350611,0.015299,3.910313,0.328641,0.329549,232.459229,61.60685,11.528828,11.433093,11.62867
239.57847291,27.54481355,17.98167,0.023935,15.485819,3.018983E-3,4.830674,0.058041,0.031675,73.019867,5.185235,10.179811,10.083204,10.274539
239.50427394,27.53566611,19.641191,0.059586,16.778677,4.789052E-3,2.573773,0.062929,0.089485,154.100739,10.007479,10.758943,10.662547,10.848047
239.53337501,27.5496001,19.911783,0.059327,16.978186,4.826004E-3,1.554911,0.032637,0.09117,154.236694,9.014013,10.701063,10.604486,10.793839
239.63328208,27.47337483,17.741121,0.013451,16.85248,4.459402E-3,0.8999,0.013768,0.030628,72.709961,11.336262,10.088844,9.997482,10.19107
239.73583269,27.5108956,18.446095,0.036627,15.429843,3.061483E-3,6.486636,0.060416,0.09044,191.111984,8.18658,11.396317,11.29015,11.488647
239.7328562,27.44173405,19.298639,0.050555,16.401831,4.142372E-3,2.773691,0.041399,0.090047,166.161743,11.03363,10.86759,10.775546,10.959957
239.70698191,27.44428,17.900061,0.01946,16.409019,4.6196E-3,6.371509,0.12321,0.08487,95.414894,14.046576,10.356954,10.284825,10.447911
239.69681663,27.40784597,19.585056,0.061291,16.933992,5.378796E-3,3.073287,0.076788,0.095122,118.717911,11.309539,10.583065,10.473267,10.701926
239.82805842,27.33414308,18.968592,0.041583,15.975357,3.507566E-3,3.699495,0.047506,0.089684,237.359772,9.759909,11.187588,11.09174,11.278886
239.84530863,27.34665197,20.147726,0.073208,17.328289,5.839334E-3,1.598844,0.046017,0.09058,154.237259,12.626934,10.562013,10.466675,10.658574
239.35286357,27.47158627,19.487251,0.061445,16.547867,4.627381E-3,2.683487,0.042964,0.098705,149.791168,10.016987,11.018903,10.931069,11.103992
239.43140139,27.34899013,19.880116,0.067074,16.981899,5.258301E-3,1.855069,0.04087,0.091906,144.174622,10.784135,10.696607,10.600725,10.787416
239.46824271,27.51376545,20.195889,0.153729,17.607166,0.010819,10.446275,0.470768,0.389647,222.406036,28.676783,-9999,-9999,-9999
239.63376013,27.40957212,19.967085,0.070444,17.735588,7.745311E-3,3.437459,0.106097,0.088576,61.41362,17.357244,10.199502,10.104816,10.294947
239.3416926,27.02026917,19.306494,0.059863,17.517834,0.010121,12.224082,0.634963,0.103173,70.923111,38.874363,10.456065,10.351281,10.564203
239.73877632,27.12821658,20.297878,0.067778,17.214088,4.982078E-3,0.42595,0.013748,0.08951,217.008621,10.798554,10.808023,10.729053,10.883498
239.84966061,27.25476569,19.139061,0.047296,16.226135,3.750283E-3,2.432055,0.039551,0.090918,233.691864,10.690987,11.110548,11.025922,11.197699
239.85233435,27.21684991,19.098047,0.04483,16.144676,3.605798E-3,2.723444,0.031707,0.09296,232.367294,8.461316,11.135569,11.045752,11.220004
239.83922287,27.19653776,19.246788,0.053227,16.386499,4.084292E-3,2.483135,0.047667,0.0915,180.830246,8.822292,11.03202,10.9364,11.125324
239.8999339,27.10871259,20.683439,0.10938,17.681213,6.645577E-3,0.991487,0.035016,0.091265,179.090179,14.994912,10.458406,10.369362,10.538601
239.92326598,27.11186597,19.855949,0.06572,17.325964,5.878124E-3,1.393682,0.032061,0.088763,140.651459,13.013722,10.555842,10.460533,10.653475
239.32697634,27.07407985,19.445831,0.06075,16.565786,4.513889E-3,2.669414,0.04269,0.068313,138.258392,7.992361,10.666556,10.577042,10.751535
239.33086221,27.07123158,18.03684,0.02669,16.034414,3.820808E-3,4.222554,0.056753,0.067813,105.597992,7.822605,10.599032,10.506725,10.689848
239.3910671,27.07398185,19.762762,0.08607,17.293362,6.77924E-3,6.54796,0.170713,0.083698,81.670464,16.573416,10.19719,10.086478,10.321235
239.42658773,27.00469785,18.339106,0.034342,15.517945,3.120491E-3,5.573029,0.06334,0.083493,180.624451,6.874015,11.223341,11.132253,11.315759
239.33042239,27.27539246,19.3016,0.057834,16.584661,4.794385E-3,3.670426,0.072289,0.098019,120.941399,10.947483,10.91787,10.823737,11.011013
239.43052332,27.29980234,21.037636,0.118237,17.932732,7.055704E-3,0.581356,0.016916,0.218856,209.805191,11.764627,11.133116,11.024635,11.245737
239.35103597,27.31328739,19.806131,0.069359,17.088409,5.597825E-3,2.318596,0.052849,0.090262,122.938141,12.608983,10.666996,10.573081,10.764855
239.33403602,27.18136439,20.317167,0.095846,17.691168,7.247187E-3,4.107671,0.113047,0.091637,71.237389,18.555792,10.386145,10.288225,10.489433
239.41818921,27.26559017,20.220015,0.075094,17.251842,5.446136E-3,1.43618,0.029801,0.086754,176.906433,11.274107,10.568293,10.472747,10.666719
239.43172001,27.27690221,19.716022,0.05915,17.025753,5.202182E-3,1.661116,0.046083,0.088651,144.783356,12.39045,10.608688,10.519326,10.697354
239.42977667,27.22696087,19.720633,0.062752,16.911509,5.053931E-3,2.209006,0.040647,0.086632,139.173828,10.977847,10.710929,10.618779,10.799792
239.37945284,27.10245158,19.329351,0.05013,16.48885,4.236519E-3,2.300806,0.03837,0.08824,184.67392,10.041566,10.94407,10.852631,11.034385
239.44100985,27.14816403,19.721628,0.054752,16.653456,4.312771E-3,2.256241,0.03387,0.090989,164.903763,9.08651,10.881471,10.78994,10.966592
239.48180059,27.12787086,19.642986,0.051697,16.586605,4.050457E-3,3.266596,0.063353,0.096784,182.634476,7.850096,11.092097,11.000387,11.185675
239.48439975,27.12405864,20.080559,0.069342,17.420538,6.068883E-3,1.962236,0.055751,0.066995,109.959465,11.571894,10.26352,10.168424,10.360964
239.52090581,27.09201328,19.544949,0.063402,16.626617,4.693557E-3,2.76572,0.048549,0.090647,177.101105,10.663113,10.923947,10.832167,11.012602
239.55384592,27.09152114,20.133123,0.058828,17.395836,5.596059E-3,1.059043,0.02941,0.096501,194.459793,14.460997,10.577423,10.484115,10.665613
239.57706838,27.0956722,19.689686,0.060632,16.969395,5.260548E-3,2.456839,0.05849,0.088528,132.845459,10.262263,10.661045,10.568098,10.748561
239.58763659,27.09068603,18.890123,0.03595,16.217745,3.816889E-3,2.475631,0.040911,0.084502,173.615829,8.464009,10.879092,10.788308,10.969934
239.60596899,27.08947279,20.492823,0.103088,17.635504,7.107133E-3,2.032252,0.075641,0.089495,128.365326,13.965147,10.419531,10.323121,10.518171
239.56953632,27.00031919,19.476034,0.068554,17.10677,6.510203E-3,8.052962,0.180608,0.067652,67.658432,25.22345,10.166661,10.07888,10.260285
239.64050341,27.08105633,20.32691,0.071465,17.549877,6.123614E-3,1.26982,0.03644,0.091694,174.46048,12.988185,10.486054,10.39255,10.576273
239.66656455,27.10558118,19.399185,0.057389,16.555674,4.554453E-3,2.787071,0.045902,0.091506,179.20372,11.60594,10.8851,10.790697,10.978935
239.65613541,27.08403027,19.903467,0.061339,16.964607,4.946813E-3,1.277134,0.030672,0.09214,226.467972,14.298544,10.807686,10.711157,10.904971
239.59137008,26.9633416,20.20969,0.058111,17.530821,5.865463E-3,0.748831,0.016886,0.084645,131.445679,9.918441,10.330198,10.236231,10.423927
239.63031183,26.9599526,19.970522,0.072618,17.486515,6.884858E-3,2.647004,0.060354,0.088264,91.086166,17.893017,10.215828,10.101475,10.3419
239.54666707,27.02256258,23.648149,0.926427,19.134304,0.015292,0.934307,0.071824,0.341257,382.817841,46.7365,-9999,-9999,-9999
239.75262736,27.09508587,20.246445,0.089267,17.35368,6.270013E-3,1.742113,0.042669,0.089536,151.257523,14.264267,10.649148,10.558579,10.739432
239.74114947,27.07305451,20.254889,0.069346,17.327812,5.552371E-3,1.054905,0.030312,0.087912,215.912277,14.92673,10.540642,10.442091,10.640246
239.60113477,27.51214675,18.949533,0.034471,17.57143,7.268485E-3,2.549026,0.095125,0.115025,14.056286,42.079773,9.896019,9.844498,9.958631
239.62011156,27.50344138,19.867073,0.054778,17.20719,5.153073E-3,2.921305,0.060156,0.086698,120.84124,9.95721,10.417487,10.316514,10.522791
239.62226956,27.45959222,19.337288,0.04467,16.400522,3.914078E-3,1.971388,0.03428,0.094692,234.867325,11.040917,10.996323,10.902343,11.091523
239.76139013,27.45054921,18.722134,0.030476,16.778307,4.527013E-3,4.507633,0.082306,0.089309,83.392197,13.532379,10.488779,10.401565,10.586003
239.82843737,27.48200341,18.934221,0.046251,17.409191,9.978339E-3,11.122896,0.46948,0.093704,105.789505,35.639252,9.995182,9.927113,10.085738
239.93622331,27.32201252,19.961,0.057922,17.397667,5.830175E-3,1.196783,0.03025,0.084051,139.940781,12.132358,10.344322,10.247473,10.438856
239.24855374,27.09165068,19.880947,0.068389,17.13447,5.909984E-3,3.384886,0.072039,0.09081,127.846626,10.563242,10.600083,10.509645,10.685893
239.48035167,26.915752,19.561729,0.058253,17.478638,7.468682E-3,6.984437,0.223241,0.093929,144.62587,18.717611,10.23524,10.121376,10.344793
239.29074598,27.43053746,20.318344,0.098239,17.387617,6.655606E-3,2.28247,0.06329,0.09112,129.061676,12.778754,10.556005,10.465007,10.642663
239.37678627,27.42808163,19.41131,0.050533,17.179813,6.073872E-3,2.492165,0.074246,0.087651,65.577286,10.822243,10.120831,10.024856,10.235512
239.33923116,27.45189396,20.026974,0.093052,17.291992,7.009871E-3,3.341846,0.084809,0.094695,108.676682,11.91767,10.619522,10.52787,10.711175
239.37031554,27.42923872,18.604403,0.027618,16.268724,3.898031E-3,2.998752,0.04531,0.087332,117.619255,7.442646,10.518971,10.40447,10.652113
239.43137479,27.46472188,17.487476,0.020826,14.787771,2.590211E-3,8.842049,0.026201,0.031559,126.470772,7.87628,10.773548,10.671458,10.874785
239.42295892,27.40906591,19.521616,0.056303,16.620422,4.56897E-3,2.068675,0.048757,0.090056,156.206512,9.378963,10.875898,10.787478,10.966373
239.49969517,27.49537185,19.620893,0.050335,16.883177,4.880338E-3,2.518118,0.053923,0.091124,146.78923,9.130753,10.675703,10.584633,10.767037
239.45664393,27.43652786,19.359245,0.046374,16.398745,4.045374E-3,1.853909,0.028996,0.088881,220.025864,10.014779,10.96166,10.870709,11.055819
239.41624657,27.38031492,19.136019,0.048802,16.193897,3.975277E-3,3.007656,0.050699,0.091496,244.24855,11.790232,11.09322,11.003627,11.178774
239.40590536,27.34382696,19.82585,0.073994,16.73193,4.925387E-3,2.423666,0.054562,0.094307,149.073395,9.908213,10.89902,10.80403,10.990639
239.46323679,27.3923824,19.579166,0.066006,16.677187,4.913583E-3,4.21239,0.065919,0.097621,145.151062,10.754252,10.89365,10.800858,10.9849
239.4578632,27.38337298,19.176079,0.048341,16.466208,4.552172E-3,4.847973,0.092043,0.091328,147.9328,10.309822,10.863947,10.774364,10.946659
239.51540933,27.44780651,19.544048,0.053065,16.578125,4.371867E-3,2.144393,0.030033,0.083991,215.076843,12.331429,10.864188,10.771772,10.952323
239.52439042,27.32086914,19.526722,0.064585,16.415554,4.368797E-3,3.33353,0.047847,0.09114,164.575439,9.810829,10.98029,10.881263,11.076131
239.52845124,27.31626445,20.202562,0.080788,17.354733,6.20281E-3,1.458653,0.037981,0.089722,174.925217,13.946169,10.62765,10.533565,10.720673
239.4853393,27.39785737,19.664085,0.056021,16.800236,4.780052E-3,1.874852,0.036819,0.090737,217.336258,12.666936,10.796855,10.707544,10.886341
239.44596228,27.31588142,18.562506,0.03866,16.185179,4.371264E-3,5.853264,0.111127,0.100915,148.22287,13.358637,11.02224,10.926432,11.122955
239.4598173,27.31979022,19.67601,0.054774,16.803484,4.756768E-3,2.022525,0.046101,0.095072,219.879501,12.323197,10.812405,10.718238,10.901097
239.45702003,27.30350913,20.043919,0.072668,17.223152,5.827125E-3,1.584519,0.045907,0.09358,138.09346,12.876873,10.702372,10.611782,10.790415
239.50416923,27.36338926,19.483322,0.056795,16.430462,4.246496E-3,2.882935,0.046786,0.094661,181.394989,8.619953,11.008286,10.921159,11.093929
239.49822436,27.3660215,22.932554,0.871868,18.328674,0.011971,1.754729,0.092984,0.318758,237.670578,32.054539,11.592961,11.491406,11.705828
239.50089618,27.367243,23.816568,2.443321,18.228233,0.015224,3.384315,0.218919,0.3198,167.821289,31.670752,11.613977,11.531529,11.696543
